[2022-11-01 15:12:09,054][lightning][INFO] - successful load initial weights
[2022-11-01 15:12:13,950][lightning][INFO] - reference : афина воспроизведи музыку вперемешку
[2022-11-01 15:12:13,951][lightning][INFO] - prediction: 
[2022-11-01 15:12:14,560][lightning][INFO] - reference : сбер фильмы с джонни деппом
[2022-11-01 15:12:14,561][lightning][INFO] - prediction: 
[2022-11-01 15:12:15,342][lightning][INFO] - reference : ясном
[2022-11-01 15:12:15,343][lightning][INFO] - prediction: 
[2022-11-01 15:12:15,966][lightning][INFO] - reference : громче
[2022-11-01 15:12:15,966][lightning][INFO] - prediction: 
[2022-11-01 15:12:16,761][lightning][INFO] - reference : мастер и маргарита часть шесть
[2022-11-01 15:12:16,762][lightning][INFO] - prediction: 
[2022-11-01 15:12:17,597][lightning][INFO] - reference : сериал дальнобойщики третий сезон
[2022-11-01 15:12:17,598][lightning][INFO] - prediction: 
[2022-11-01 15:12:18,126][lightning][INFO] - reference : включи мне маленькая колдунья
[2022-11-01 15:12:18,126][lightning][INFO] - prediction: 
[2022-11-01 15:12:18,618][lightning][INFO] - reference : выведи мне андрея эвридэй
[2022-11-01 15:12:18,618][lightning][INFO] - prediction: 
[2022-11-01 15:12:19,504][lightning][INFO] - reference : никитой геннадьевичем кабировым
[2022-11-01 15:12:19,504][lightning][INFO] - prediction: 
[2022-11-01 15:12:20,183][lightning][INFO] - reference : джой как работает твое отключение по таймеру
[2022-11-01 15:12:20,184][lightning][INFO] - prediction: 
[2022-11-01 15:12:20,861][lightning][INFO] - reference : покажи мне трансляцию апл юнайтед с лестером
[2022-11-01 15:12:20,861][lightning][INFO] - prediction: 
[2022-11-01 15:12:21,524][lightning][INFO] - reference : сбер сыграй кей поп
[2022-11-01 15:12:21,525][lightning][INFO] - prediction: 
[2022-11-01 15:12:22,070][lightning][INFO] - reference : в твоем каталоге есть меня зовут танино
[2022-11-01 15:12:22,071][lightning][INFO] - prediction: 
[2022-11-01 15:12:22,754][lightning][INFO] - reference : заказать мороженое русский резерв один кг простой пломбир
[2022-11-01 15:12:22,755][lightning][INFO] - prediction: 
[2022-11-01 15:12:23,349][lightning][INFO] - reference : мелодии белой ночи покажи
[2022-11-01 15:12:23,349][lightning][INFO] - prediction: 
[2022-11-01 15:12:24,174][lightning][INFO] - reference : ярослав шарипов
[2022-11-01 15:12:24,174][lightning][INFO] - prediction: 
[2022-11-01 15:12:24,648][lightning][INFO] - reference : магомедсаида петровича борисова
[2022-11-01 15:12:24,648][lightning][INFO] - prediction: 
[2022-11-01 15:12:25,094][lightning][INFO] - reference : фатимы андреевны мансуровой
[2022-11-01 15:12:25,095][lightning][INFO] - prediction: 
[2022-11-01 15:12:26,375][lightning][INFO] - reference : поставь на смотрешке канал бридж тв
[2022-11-01 15:12:26,375][lightning][INFO] - prediction: 
[2022-11-01 15:12:26,968][lightning][INFO] - reference : включи гудбойс
[2022-11-01 15:12:26,969][lightning][INFO] - prediction: 
[2022-11-01 15:12:27,534][lightning][INFO] - reference : сбер долгота танцующий лес
[2022-11-01 15:12:27,534][lightning][INFO] - prediction: 
[2022-11-01 15:12:28,036][lightning][INFO] - reference : найти лучшие фильмы жанра детектив
[2022-11-01 15:12:28,037][lightning][INFO] - prediction: 
[2022-11-01 15:12:29,005][lightning][INFO] - reference : шесть четыреста восемьдесят шесть четыреста два восемьдесят один пять семь
[2022-11-01 15:12:29,005][lightning][INFO] - prediction: 
[2022-11-01 15:12:29,567][lightning][INFO] - reference : сбер я ничего не сказал
[2022-11-01 15:12:29,568][lightning][INFO] - prediction: 
[2022-11-01 15:12:30,061][lightning][INFO] - reference : джой запустить канал телевидение вопросы и ответы
[2022-11-01 15:12:30,061][lightning][INFO] - prediction: 
[2022-11-01 15:12:30,593][lightning][INFO] - reference : азу булгакова
[2022-11-01 15:12:30,593][lightning][INFO] - prediction: 
[2022-11-01 15:12:31,606][lightning][INFO] - reference : покажи фильм носферату ужас ночи
[2022-11-01 15:12:31,606][lightning][INFO] - prediction: 
[2022-11-01 15:12:32,693][lightning][INFO] - reference :  
[2022-11-01 15:12:32,693][lightning][INFO] - prediction: 
[2022-11-01 15:12:33,400][lightning][INFO] - reference : скажи пожалуйста какова стоимость экскурсий из отеля
[2022-11-01 15:12:33,400][lightning][INFO] - prediction: 
[2022-11-01 15:12:33,873][lightning][INFO] - reference : снежный гонщик найти
[2022-11-01 15:12:33,873][lightning][INFO] - prediction: 
[2022-11-01 15:12:34,435][lightning][INFO] - reference : включи канал авто двадцать четыре
[2022-11-01 15:12:34,435][lightning][INFO] - prediction: 
[2022-11-01 15:12:35,325][lightning][INFO] - reference : у тебя есть дюнкерк
